label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de,ar-EG
config_email_smtp_timeout,SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Tempo esgotado,SMTP Timeout (s),SMTP Timeout (s),وقت فشل المحاولة (ثوانى) لـ SMTP
config_email_smtp_user,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,Nome de usuário SMTP,SMTP Username,SMTP Benutzername,اسم مستخدم SMTP
config_email_smtp_pass,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,Senha SMTP ,SMTP Password,SMTP Passwort,كلمة سر SMTP
config_fax,Fax,Fax,Fax,Fax,Fax,Fax,傳真,Факс,แฟ็กซ์,Faks,Fax,Fax,Fax,Fax,الفاكس
config_general,Általános,Einstellungen,Algemene,General,General,General,General,General,ตั้งค่าทั่วไป,General,General,Gerais,Opća,Einstellungen,عام
config_general_configuration,Általános beállitás,Einstellungen,Algemene Instellingen,Configuración General,General Configuration,General Configuration,General Configuration,General Configuration,ตั้งค่าทั่วไป,General Configuration,General Configuration,Configurações Gerais,Opća konfiguracija,Einstellungen,إعدادات عامة
config_info,Információk,Instellungen,Instellingen,Información,Information,Entreprise,儲存組態,информация о магазин конфигурация,ข้อมูลร้านค้า,Mağaza yapılandırma bilgisi,Informasi,Informações,Info,Generelle Einstellungen,معلومات
config_info_configuration,Bolt információk,Instellungen,Instellingen,Información del Comercio,Store Information,Çonfiguration de l'Entreprise,儲存組態,информация о магазин конфигурация,ข้อมูลร้านค้า,Mağaza yapılandırma bilgisi,Informasi Toko,Informações da loja,Info o web trgovini,Generelle Einstellungen,معلومات الشركة
config_invoice,Számla,Rechnungs,Factuur,Factura,Invoice,Invoice,Invoice,Invoice,Invoice,Invoice,Invoice,Fatura,Račun,Rechnungs,الفاتورة
config_invoice_configuration,Nyomtatási beállitások,Druckereinstellungen,Print Instellingen,Parámetros de Impresión,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Configuração de Impressão,Postavke štamapnja,Druckereinstellungen,إعدادات طباعة الفاتورة
config_invoice_default_comments,Alapértelmezett számla kommentek,Rechnungskommentar,Factuur Mededeling,Comentarios predeterminados en la factura,Default Invoice Comments,Default Invoice Comments,Default Invoice Comments,Default Invoice Comments,Default Invoice Comments,Default Invoice Comments,Default Invoice Comments,Comentário,Komentar na računu,Rechnungskommentar,التعليق الافتراضي على الفاتورة
config_invoice_enable,Enable Invoicing,Enable Invoicing,Enable Invoicing,Activar Facturacion,Enable Invoicing,Enable Invoicing,Enable Invoicing,Enable Invoicing,Enable Invoicing,Enable Invoicing,Enable Invoicing,Habilitar faturamento,Enable Invoicing,Rechnungsstellung einschalten,تفعيل الفوترة
config_invoice_email_message,Email számla sablon,Rechnungsvorlage (Email),Invoice Email Template,Plantilla de Factura por Email,Invoice Email Template,Invoice Email Template,Invoice Email Template,Invoice Email Template,Invoice Email Template,Invoice Email Template,Invoice Email Template,Modelo de e-mail Fatura,e-mail za račun,Rechnungsvorlage (Email),قالب البريد الإلكتروني للفاتورة
config_invoice_printer,Számla nyomtató,Rechnungsdrucker,Factuur Printer,Impresora de Factura,Invoice Printer,Invoice Printer,Invoice Printer,Invoice Printer,Invoice Printer,Invoice Printer,Invoice Printer,Imprimir fatura,Printer za račun,Rechnungsdrucker,طابعة الفواتير
config_jsprintsetup_required,"Figyelem! Ez a letiltott funkció csak akkor működik megfelelően, ha a FireFox jsPrintSetup kiegészítő telepítve van. Menti mindezek tudatában?",Warnung! Diese Funktion ist nur funktionsfähig,Opgelet! De uitgeschakelde functionaliteit werkt enkel met de jsPrintSetup addon in Firefox.,Advertencia!Esta funcionalidad desactivada solo funciona con el addon jsPrintSetup de FireFox instalado. Guardar de todas formas?,Warning! This disabled functionality will only work if you have the FireFox jsPrintSetup addon installed. Save anyway?,Warning! This disabled functionality will only work if you have the FireFox jsPrintSetup addon installed. Save anyway?,Warning! This disabled functionality will only work if you have the FireFox jsPrintSetup addon installed. Save anyway?,Warning! This disabled functionality will only work if you have the FireFox jsPrintSetup addon installed. Save anyway?,Warning! This disabled functionality will only work if you have the FireFox jsPrintSetup addon installed. Save anyway?,Warning! This disabled functionality will only work if you have the FireFox jsPrintSetup addon installed. Save anyway?,Warning! This disabled functionality will only work if you have the FireFox jsPrintSetup addon installed. Save anyway?,Aviso! Esta funcionalidade só irá funcionar se você tem o addon FireFox jsPrintSetup instalado. Salvar de qualquer maneira?,Upozorenje! Onemogućene opcije će raditi samo ako imate instaliran FireFox jsPrintSetup dodatak. Svakako snimiti?,Warnung! Diese Funktion ist nicht funktionsfähig,تحذير! هذه الخاصية غير المفعلة سوف تعمل فقط مع وجود الاضافة jsPrintSetup على متصفح فايرفوكس. حفظ على أى حال؟
config_language,Nyelv,Sprache,Taal,Idioma,Language,Langue,語言,Язик,ภาษา,Dil,Bahasa,Linguagem,Jezik,Sprache,اللغة
config_left,Left,Left,Left,Izquierda,Left,Left,Left,Left,Left,Left,Left,Esquerda,Left,Left,يسار
config_license,License,License,License,Licencia,License,License,License,License,License,License,License,Licenças,License,Lizenz,الرخصة
config_license_configuration,License Statement,License Statement,License Statement,License Statement,License Statement,License Statement,License Statement,License Statement,License Statement,License Statement,License Statement,Declaração de licença,License Statement,Lizenzvereinbarung,نص الرخصة
config_lines_per_page,Sorok száma  oldalanként,Zeilen pro Seite,Lijnen Per Pagina,Líneas por página,Lines Per Page,Lines Per Page,Lines Per Page,Lines Per Page,Lines Per Page,Lines Per Page,Lines Per Page,Linhas por página,Linija po stranici,Zeilen pro Seite,عدد السطور فى الصفحة
config_lines_per_page_number,A sorok száma oldalanként kötelező mező,Zeilen pro Seite muss eine Zahl sein,The lines per page must be a number,Líneas por página debe ser un número,,The lines per page must be a number,The lines per page must be a number,The lines per page must be a number,The lines per page must be a number,The lines per page must be a number,The lines per page must be a number,Linhas por página deve ser um número,Linija po stranici mora biti broj,Zeilen pro Seite muss eine Zahl sein,عدد السطور فى الصفحة يجب أن يكون رقم
config_lines_per_page_required,A sor per oldal kötelező mező,Zeilen pro Seite ist erforderlich,The lines per page is a required field,Líneas por página es requerido,The lines per page is a required field,The lines per page is a required field,The lines per page is a required field,The lines per page is a required field,The lines per page is a required field,The lines per page is a required field,The lines per page is a required field,As linhas por página é um campo obrigatório,Broj linija po stranici je potreban podatak,Zeilen pro Seite ist erforderlich,عدد السطور فى الصفحة مطلوب
config_locale,Lokalizációs,Länder,Localisation,Ubicacion,Localisation,Localisation,Localisation,Localisation,ตั้งค่าภาษา,Localisation,Localisation,Localização,Lokacija,Länder,إقليمية
config_locale_configuration,Lokalizációs beállitások,Länderkonfiguration,Localisation Configuration,Configuración de la ubicación,Localisation Configuration,Localisation Configuration,Localisation Configuration,Localisation Configuration,ตั้งค่าภาษา,Localisation Configuration,Localisation Configuration,Configuração de Localização,Konfiguracija,Länderkonfiguration,الإعدادات الإقليمية
config_locale_info,Lokalizációs beállitási információk,Info Länderkonfiguration,Localisation Configuration Information,Informacion de la configuracion de la ubicación,Localisation Configuration Information,Localisation Configuration Information,Localisation Configuration Information,Localisation Configuration Information,Localisation Configuration Information,Localisation Configuration Information,Localisation Configuration Information,Informações da Configuração de Localização,Informacije o lokalnoj konfiguraciji,Info Länderkonfiguration,معلومات التهيئة الإقليمية
config_location,Készlet,Lagerort,Stock,Inventario,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Estoque,Skladišta,Lagerort,المخزون
config_location_configuration,Készlet helye,Lagerort,Stock Locaties,Ubicación de Inventario,Stock Locations,Stock Locations,Stock Locations,Stock Locations,Stock Locations,Stock Locations,Stock Locations,Localização do Estoque,Mjesto skladišta,Lagerort,أماكن المخزون
config_location_info,Helyszin konfigurációs információk,Lagerort-Information,Instellingen Locatie,Información de Configuración de Ubicación,Location Configuration Information,Location Configuration Information,Location Configuration Information,Location Configuration Information,Location Configuration Information,Location Configuration Information,Location Configuration Information,Informações da localização,Info o lokaciji skladišta,Lagerort-Information,معلومات تهيئة الأماكن
config_logout,"Nem szeretne mentést csinálni kilépés előtt? Kattintson az [OK]-ra a mentéshez, [Mégsem] a kilépéshez",Wollen Sie eine Sicherung machen vor dem Beenden? Klicke [OK] für Sicherung,Wilt u een backup maken alvorens uit te loggen?,Desea hacer un respaldo antes de salir?,"Don't you want to make a backup before logging out? Click [OK] to backup, [Cancel] to logout",Don't you want to make a backup before logging out?,Don't you want to make a backup before logging out?,Don't you want to make a backup before logging out?,Don't you want to make a backup before logging out?,Don't you want to make a backup before logging out?,Don't you want to make a backup before logging out?,Você não quer fazer uma cópia de segurança antes de sair? Clique [OK] para fazer a cópia de segurança,"Želite napraviti arhivu prije nego izađete? Pritisnite [OK] za arhivu, [Cancel] to otkazivanje.",Wollen Sie eine Sicherung machen vor dem Beenden? Klicke [OK] für Sicherung,هل تريد عمل نسخة إحتياطية قبل الخروج؟ اضغط [نعم] لعمل النسخة أو [الغاء] للخروج
config_message,Message,Message,Message,Mensaje,Message,Message,Message,Message,Message,Message,Message,Mensagem,Message,Nachricht,الرسائل
config_message_configuration,Message Configuration,Message Configuration,Message Configuration,Configuracion del mensaje,Message Configuration,Message Configuration,Message Configuration,Message Configuration,Message Configuration,Message Configuration,Message Configuration,Configuração de Mensagens,Message Configuration,Nachrichtenkonfiguration,إعدادات الرسائل
config_msg_msg,Saved Text Message,Saved Text Message,Saved Text Message,Texto del mensaje guardado,Saved Text Message,Saved Text Message,Saved Text Message,Saved Text Message,Saved Text Message,Saved Text Message,Saved Text Message,Salvar mensagem de texto,Saved Text Message,Gespeicherte Nachricht,الرسائل النصية المحفوظة
config_msg_msg_placeholder,If you wish to use a SMS template save your message here. Otherwise leave the box blank.,If you wish to use a SMS template save your message here. Otherwise leave the box blank.,If you wish to use a SMS template save your message here. Otherwise leave the box blank.,"Si desea usar un formato de SMS guarde su mensaje aquí, en caso contrario deje en blanco",If you wish to use a SMS template save your message here. Otherwise leave the box blank.,If you wish to use a SMS template save your message here. Otherwise leave the box blank.,If you wish to use a SMS template save your message here. Otherwise leave the box blank.,If you wish to use a SMS template save your message here. Otherwise leave the box blank.,If you wish to use a SMS template save your message here. Otherwise leave the box blank.,If you wish to use a SMS template save your message here. Otherwise leave the box blank.,If you wish to use a SMS template save your message here. Otherwise leave the box blank.,"Se você deseja usar um modelo de SMS salvar a sua mensagem aqui. Caso contrário, deixe a caixa em branco.",If you wish to use a SMS template save your message here. Otherwise leave the box blank.,"Wenn Sie eine SMS Vorlage benutzen wollen, geben Sie diese hier ein, ansonsten lassen Sie dieses Feld frei.",إذا أردت إستخدام قالب للرسائل القصيرة احفظه هنا. عدا ذلك أترك هذا الحقل فارغ
config_msg_uid,SMS-API Username,SMS-API Username,SMS-API Username,SMS-API Usuario,SMS-API Username,SMS-API Username,SMS-API Username,SMS-API Username,SMS-API Username,SMS-API Username,SMS-API Username,SMS-API usuário,SMS-API Username,SMS-API Benutzername,SMS-API اسم المستخدم لـ
config_msg_uid_required,SMS-API Username is a required field,SMS-API Username is a required field,SMS-API Username is a required field,SMS-API Usuario es un campo requerido,SMS-API Username is a required field,SMS-API Username is a required field,SMS-API Username is a required field,SMS-API Username is a required field,SMS-API Username is a required field,SMS-API Username is a required field,SMS-API Username is a required field,SMS-API usuário é um campo obrigatório,SMS-API Username is a required field,SMS-API Benutzername ist ein Pflichtfeld,مطلوب SMS-API اسم المستخدم لـ
config_msg_pwd,SMS-API Password,SMS-API Password,SMS-API Password,SMS-API Password,SMS-API Password,SMS-API Password,SMS-API Password,SMS-API Password,SMS-API Password,SMS-API Password,SMS-API Password,SMS-API senha,SMS-API Password,SMS-API Passwort,SMS-API  كلمة السر لـ
config_msg_pwd_required,SMS-API Password is a required field,SMS-API Password is a required field,SMS-API Password is a required field,SMS-API Password es un campo requerido,SMS-API Password is a required field,SMS-API Password is a required field,SMS-API Password is a required field,SMS-API Password is a required field,SMS-API Password is a required field,SMS-API Password is a required field,SMS-API Password is a required field,SMS-API Senha é um campo obrigatório,SMS-API Password is a required field,SMS-API Passwort ist ein Pflichtfeld,مطلوب SMS-API كلمة السر لـ
config_msg_src,SMS-API Sender ID,SMS-API Sender ID,SMS-API Sender ID,SMS-API ID remitente,SMS-API Sender ID,SMS-API Sender ID,SMS-API Sender ID,SMS-API Sender ID,SMS-API Sender ID,SMS-API Sender ID,SMS-API Sender ID,SMS-API Remetente ID,SMS-API Sender ID,SMS-API Sender ID,SMS-API  كود المرسل لـ
config_msg_src_required,SMS-API Sender ID is a required field,SMS-API Sender ID is a required field,SMS-API Sender ID is a required field,SMS-API ID remitente es un campo requerido,SMS-API Sender ID is a required field,SMS-API Sender ID is a required field,SMS-API Sender ID is a required field,SMS-API Sender ID is a required field,SMS-API Sender ID is a required field,SMS-API Sender ID is a required field,SMS-API Sender ID is a required field,SMS-API Remetente ID é um campo obrigatório ,SMS-API Sender ID is a required field,SMS-API Sender ID ist ein Pflichtfeld,مطلوب SMS-API كود المرسل لـ
config_none,none,none,none,none,none,none,none,none,none,none,none,nenhum,none,none,لايوجد
config_notify_alignment,Notification Popup Position,Notification Popup Position,Notification Popup Position,Posicion de venta de aviso,Notification Popup Position,Notification Popup Position,Notification Popup Position,Notification Popup Position,Notification Popup Position,Notification Popup Position,Notification Popup Position,Notificação Posição Popup ,Notification Popup Position,Benachrichtigungs Popup Position,مكان عرض رسائل المعلومات
config_number_format,Szám formátum,Zahlenformat,Number Format,Formato de número,Number Format,Number Format,Number Format,Number Format,รูปแบบตัวเลข,Number Format,Format Nomor,Formato do número,Format broja,Zahlenformat,شكل الرقم
config_payment_options_order,Payment Options Order,Payment Options Order,Payment Options Order,Orden de opciones de pago,Payment Options Order,Payment Options Order,Payment Options Order,Payment Options Order,Payment Options Order,Payment Options Order,Payment Options Order,Opções da ordem de pagamento,Payment Options Order,Zahlungsarten Reihenfolge,ترتيب خيارات الدفع
config_phone,Cég telefonszáma,Telefon,Telefoon,Teléfono del Comercio,Company Phone,Téléphone,電話,Телефон Компании,เบอร์โทรศัพท์,Şirket Telefonu,Telepon Perusahaan,Telefone,Telefon tvrtke,Telefon,هاتف الشركة
config_phone_required,Cég telefonszáma kötelező mező,Telefon ist erforderlich,De telefoonnummer van het bedrijf moet ingevuld worden,Teléfono del Comercio es requerido,Company phone is a required field,Le numéro de téléphone est requis,公司電話為必填,Телефон Компании обязательный пробел,เบอร์โทรต้องกรอก,Şirket Telefonu zorunlu alandır,Telepon Perusahaan wajib diisi,Telefone da Empresa é requerido,Telefon tvrtke je potreban,Telefon ist erforderlich,هاتف الشركة مطلوب
config_print_bottom_margin,Alsó margó,Unterer Rand,Marge Beneden,Margen Inferior,Margin Bottom,Margin Bottom,Margin Bottom,Margin Bottom,Margin Bottom,Margin Bottom,Margin Bottom,Margem inferior,Doljnja margina,Unterer Rand,الهامش السفلي
config_print_bottom_margin_number,The default bottom margin must be a number,Unterer Rand muss eine Zahl sein,The default bottom margin must be a number,Margen Inferior debe ser un número,The default bottom margin must be a number,The default bottom margin must be a number,The default bottom margin must be a number,The default bottom margin must be a number,The default bottom margin must be a number,The default bottom margin must be a number,The default bottom margin must be a number,A margem inferior padrão deve ser um número,Doljnja margina mora biti broj,Unterer Rand muss eine Zahl sein,الهامش السفلي يجب أن يكون رقم
config_print_bottom_margin_required,The default bottom margin is a required field,Unterer Rand ist erforderlich,The default bottom margin is a required field,Margen Inferior es requerido,The default bottom margin is a required field,The default bottom margin is a required field,The default bottom margin is a required field,The default bottom margin is a required field,The default bottom margin is a required field,The default bottom margin is a required field,The default bottom margin is a required field,A margem inferior padrão é um campo obrigatório,Doljnja margina je potrebna,Unterer Rand ist erforderlich,الهامش السفلي مطلوب
config_print_footer,Print Browser Footer,Drucke Browser Fusszeile,Print Browser Footer,Imprimir el pie de página del navegador,Print Browser Footer,Print Browser Footer,Print Browser Footer,Print Browser Footer,Print Browser Footer,Print Browser Footer,Print Browser Footer,Imprimir rodapé do navegador,Prikazati podnožje u pregledniku,Drucke Browser Fusszeile,طباعة تذييل المتصفح
config_print_header,Print Browser Header,Drucke Browser Kopfzeile,Print Browser Header,Imprimir el encabezado del navegador,Print Browser Header,Print Browser Header,Print Browser Header,Print Browser Header,Print Browser Header,Print Browser Header,Print Browser Header,Imprimir o cabeçalho do navegador,Prikazati zaglavlje u pregledniku,Drucke Browser Kopfzeile,طباعة ترويسة المتصفح
config_print_left_margin,Bal margó,Rand links,Marge Links,Margen Izquierdo,Margin Left,Margin Left,Margin Left,Margin Left,Margin Left,Margin Left,Margin Left,Margem esquerda,Lijeva margina,Rand links,الهامش الأيسر
config_print_left_margin_number,The default left margin must be a number,Rand links muss eine Zahl sein,The default left margin must be a number,Margen Izquierdo debe ser un número,The default left margin must be a number,The default left margin must be a number,The default left margin must be a number,The default left margin must be a number,The default left margin must be a number,The default left margin must be a number,The default left margin must be a number,A margem esquerda padrão deve ser um número,Lijeva margina mora biti broj,Rand links muss eine Zahl sein,الهامش الأيسر يجب ان يكون رقم
config_print_left_margin_required,The default left margin is a required field,Rand links ist erforderlich,The default left margin is a required field,Margen Izquierdo es requerido,The default left margin is a required field,The default left margin is a required field,The default left margin is a required field,The default left margin is a required field,The default left margin is a required field,The default left margin is a required field,The default left margin is a required field,A margem esquerda padrão é um campo obrigatório,Lijeva margina je obavezna,Rand links ist erforderlich,الهامش الأيسر مطلوب
config_print_right_margin,Jobb margó,Rand rechts,Marge Rechts,Margen Derecho,Margin Right,Margin Right,Margin Right,Margin Right,Margin Right,Margin Right,Margin Right,Margem Direita,Desna margina,Rand rechts,الهامش الأيمن
config_print_right_margin_number,The default right margin must be a number,Rand rechts muss eine Zahl sein,The default right margin must be a number,Margen Derecho debe ser un número,The default right margin must be a number,The default right margin must be a number,The default right margin must be a number,The default right margin must be a number,The default right margin must be a number,The default right margin must be a number,The default right margin must be a number,A margem direita padrão deve ser um número,Desna margina mora biti broj,Rand rechts muss eine Zahl sein,الهامش الأيمن يجب أن يكون رقم
config_print_right_margin_required,The default right margin is a required field,Rand rechts ist erforderlich,The default right margin is a required field,Margen Derecho es requerido,The default right margin is a required field,The default right margin is a required field,The default right margin is a required field,The default right margin is a required field,The default right margin is a required field,The default right margin is a required field,The default right margin is a required field,A margem direita padrão é um campo obrigatório,Desna margina je potrebna,Rand rechts ist erforderlich,الهامش الأيمن مطلوب
config_print_silently,Show Print Dialog,Zeige Druckdialog,Toon Printvenster,Mostrar cuadro de Dialogo de impresión,Show Print Dialog,Show Print Dialog,Show Print Dialog,Show Print Dialog,Show Print Dialog,Show Print Dialog,Show Print Dialog,Mostrar caixa de diálogo de impressão,Pokaži okvir za štampanje,Zeige Druckdialog,عرض صندوق حوار طباعة
config_print_top_margin,Felső margó,Rand oben,Marge Boven,Margen Superior,Margin Top,Margin Top,Margin Top,Margin Top,Margin Top,Margin Top,Margin Top,Margem superior,Gornja margina,Rand oben,الهامش العلوى
config_print_top_margin_number,The default top margin must be a number,Rand oben muss eine Zahl sein,The default top margin must be a number,Margen Superior debe ser un número,The default top margin must be a number,The default top margin must be a number,The default top margin must be a number,The default top margin must be a number,The default top margin must be a number,The default top margin must be a number,The default top margin must be a number,A margem superior padrão deve ser um número,Gornja margina mora biti broj,Rand oben muss eine Zahl sein,الهامش العلوى يجب أن يكون رقم
config_print_top_margin_required,The default top margin is a required field,Rand oben ist erforderlich,The default top margin is a required field,Margen Superior es requerido,The default top margin is a required field,The default top margin is a required field,The default top margin is a required field,The default top margin is a required field,The default top margin is a required field,The default top margin is a required field,The default top margin is a required field,A margem superior padrão é um campo obrigatório,Gornja margina je obavezna,Rand oben ist erforderlich,الهامش العلوى مطلوب
config_quantity_decimals,Quantity Decimals,Quantity Decimals,Quantity Decimals,Cantidad de decimales,Quantity Decimals,Quantity Decimals,Quantity Decimals,Quantity Decimals,Quantity Decimals,Quantity Decimals,Quantity Decimals,Número de decimais,Decimalne količine,Mengendezimalstellen,العلامة العشرية للكمية
config_receipt,Nyugta,Eingang,Ontvangst,Recibo,Receipt,Receipt,Receipt,Receipt,Receipt,Receipt,Receipt,Recibo,Priznanica,Eingang,الإيصال
config_receipt_configuration,Nyomtatási beállitások,Druckereinstellungen,Print Instellingen,Parámetros de Impresión,Receipt Print Settings,Receipt Print Settings,Receipt Print Settings,Receipt Print Settings,Receipt Print Settings,Receipt Print Settings,Receipt Print Settings,Configuração de Impressão,Postavke štamapnja,Druckereinstellungen,إعدادات طباعة الايصالات
config_receipt_info,Nyugta beállítási információk,Quittungsinformation,Ticket Instellingen,Información de Configuración de Recibo,Receipt Configuration Information,Receipt Configuration Information,Receipt Configuration Information,Receipt Configuration Information,Receipt Configuration Information,Receipt Configuration Information,Receipt Configuration Information,Informações de configuração de Recibos,Informacije o POS računu,Quittungsinformation,معلومات تهيئة الإيصالات
config_receipt_printer,Jegy nyomtató,Quittungsdrucker,Ticket Printer,Impresora de Ticket,Ticket Printer,Ticket Printer,Ticket Printer,Ticket Printer,Ticket Printer,Ticket Printer,Ticket Printer,Imprimir recibo,POS printer,Quittungsdrucker,طابعة تذاكر
config_receipt_show_taxes,Adók mutatása,Zeige MWSt,Toon VAT,Mostrar impuestos,Show Taxes,Show Taxes,Show Taxes,Show Taxes,Show Taxes,Show Taxes,Show Taxes,Mostrar Impostos,Prikaži porez,Zeige MWSt,عرض الضرائب
config_receipt_show_total_discount,Összes kedvezmény mutatása,Zeige Gesamtrabatt,Toon Totale Korting,Mostrar Descuento Total,Show Total Discount,Show Total Discount,Show Total Discount,Show Total Discount,Show Total Discount,Show Total Discount,Show Total Discount,Mostrar total desconto,Pokaži ukupni popust,Zeige Gesamtrabatt,عرض إجمالى الخصم
config_receipt_show_description,Show Description,Show Description,Show Description,Mostrar descripcion,Show Description,Show Description,Show Description,Show Description,Show Description,Show Description,Show Description,Exibir descrição,Show Description,Show Description,عرض الوصف
config_receipt_show_serialnumber,Show Serial Number,Show Serial Number,Show Serial Number,Mostrar numero de serie,Show Serial Number,Show Serial Number,Show Serial Number,Show Serial Number,Show Serial Number,Show Serial Number,Show Serial Number,Exibir número serial,Show Serial Number,Show Serial Number,عرض الرقم المسلسل
config_receipt_template,Receipt Template,Receipt Template,Receipt Template,Formato de recibo,Receipt Template,Receipt Template,Receipt Template,Receipt Template,Receipt Template,Receipt Template,Receipt Template,Modelo de recibo,Receipt Template,Receipt Template,قالب الايصال
config_receipt_default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Padrão ,Default,Default,افتراضى
config_receipt_short,Short,Short,Short,Ordenar,Short,Short,Short,Short,Short,Short,Short,Pequeno,Short,Short,مختصر
config_receiving_calculate_average_price,Átl. Ár számitása (visszáru),Berechne Durchschnittseinkaufspreis,Calc avg. Price (Receiving),Calc precio promedio (Recepción),Calc avg. Price (Receiving),Calc avg. Price (Receiving),Calc avg. Price (Receiving),Calc avg. Price (Receiving),Calc avg. Price (Receiving),Calc avg. Price (Receiving),Calc avg. Price (Receiving),Calc Médio de Preço (Recebimento),Računaj prosječnu cijenu (primke),Berechne Durchschnittseinkaufspreis,حساب متوسط سعر الأصناف المستلمة
config_recv_invoice_format,Visszatérítési számla formátum,Format Eingangsrechnung,Formattering Order #,Formato de Factura de Recepción,Receivings Invoice Format,Receivings Invoice Format,Receivings Invoice Format,Receivings Invoice Format,ใบส่งของ,Receivings Invoice Format,Format Nota,Formato da fatura de recebimento,Oblik ulaznog računa(primke),Format Eingangsrechnung,شكل فاتورة الإستلام
config_return_policy_required,Return policy is a required field,Rücknahmepolitik erforderlich,De retourvoorwaarden moeten ingevuld worden,Política de Devolución es requerida,Return policy is a required field,Le Message est un champ requis,退換貨政策為必填,Возвратний полис обязательный пробел,ต้องกรอกเงื่อนไขการคืนสินค้า,İade Politikası zorunlu alandır,Kebijakan retur wajib diisi,A política de devolução é um campo obrigatório,Polje za povratne obavijesti je potrebno,Rücknahmeerklärung erforderlich,سياسة الإسترجاع مطلوب
config_right,Right,Right,Right,Derecha,Right,Right,Right,Right,Right,Right,Right,Direita,Right,Right,يمين
config_sales_invoice_format,Eladási számla formátum,Format Verkaufsrechnung,Formattering Aankoop #,Formato de Facturas de Venta,Sales Invoice Format,Sales Invoice Format,Sales Invoice Format,Sales Invoice Format,รหัสใบเสร็จ,Sales Invoice Format,Format Nota,Formato da Fatura de Vendas,Oblik fakture,Format Verkaufsrechnung,شكل فاتورة البيع
config_saved_successfully,Beállítások sikeresen elmentve,Einstellungen erfolgreich gesichert,Configuratie werd bewaard,Configuración guardada satisfactoriamente,Configuration saved successfully,Configuration sauvegardée,組態設置儲存成功,Конфигурация успешно сохранена,บันทึกข้อมูลร้านค้าเรียบร้อยแล้ว,Yapılandırma kaydedildi,Konfigurasi berhasil disimpan,Configuração salva com sucesso,Konfiguracija je uspješno snimljena,Einstellungen erfolgreich gesichert,تم حفظ التهيئة بنجاح
config_saved_unsuccessfully,Beállítások mentése sikertelen,Einstellungen konnten nicht gesichert werden,Configuratie kon niet worden bewaard,Configuración no guardada,Configuration saved unsuccessfully,Échec de sauvegarde de configuration,組態設置儲存失敗,Конфигурация сохраненная безуспешно,บันทึกข้อมูลร้านค้าไม่สำเร็จ,Yapılandırma kaydedilemedi,Konfigurasi tidak berhasil disimpan,Configuração não salva,Konfiguracija nije uspješno snimljena,Einstellungen konnten nicht gesichert werden,لم يتم حفظ التهيئة بنجاح
config_statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics,Send statistics
config_statistics_tooltip,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes,Send statistics for development and feature improvement purposes
config_stock_location,Bolt helye,Lagerort,Stock locatie,Ubicación de Inventario,Stock location,Stock location,Stock location,Stock location,สถานที่เก็บ,Mağaza Yeri,Lokasi Stock,Localização do Estoque,Lokacija skladišta,Lagerort,مكان المخزون
config_stock_location_duplicate,Kérem egyedi helyszin nevet használjon,Bitte verwenden Sie einen eindeutigen Lagerort,Vul een unieke naam in,Por favor use un nombre de inventario único,Please use an unique location name,Please use an unique location name,Please use an unique location name,Please use an unique location name,,Please use an unique location name,Please use an unique location name,"Por favor, use um nome de localização única",Molim koristite jedinstveni naziv skladišta,Bitte verwenden Sie einen eindeutigen Lagerort,من فضلك إستخدم اسم مكان غير مكرر
config_stock_location_invalid_chars,A bolt helyének neve nem tartalmazhat '_' karaktert,Der Lagerort kann keine Unterstriche enthalten,De bedrijfsnaam moet ingevuld worden,Nombre de la Ubicación de Inventario no debe contener '_',The stock location name can not contain '_',The stock location name can not contain '_',The stock location name can not contain '_',The stock location name can not contain '_',The stock location name can not contain '_',The stock location name can not contain '_',The stock location name can not contain '_',O nome do local de ações não pode conter '_',Naziv skaldišta ne može sadržavati '_',Der Lagerort kann keine Unterstriche enthalten,مكان المخزون لايمكن أن يحتوى على '_'
